Avg_Infect_over_1_period,delta_val,Initial_Conditions,Max_total_pop,Min_total_pop,period
0.19303664770055767,33.0,"[24.581221780865533, 0.012894368309030015]",30.19126237499069,15.288783473545212,2
0.1847667535321495,34.0,"[25.27566487997597, 0.013118593569242434]",30.757300483132138,15.987458437179567,2
0.17699465107763068,35.0,"[25.97411294178042, 0.01334549539914902]",31.323524983490636,16.690012044947593,2
0.16967865733051773,36.0,"[26.676437394528392, 0.013574650419200487]",31.889719064157507,17.39636028044324,2
0.16278157687736533,37.0,"[27.38255451642516, 0.013805764018080249]",32.45564678890213,18.106464081684738,2
0.1562701149879256,38.0,"[28.092425424452102, 0.01403865723263537]",33.021049204473876,18.820330982650447,2
0.15011438040295744,39.0,"[28.806057723237807, 0.014273259412639242]",33.58563860483775,19.538018726223164,2
0.1442874622272498,40.0,"[29.52350911980063, 0.014509606422534212]",34.149090449463316,20.259641376504582,2
0.1387650683561027,41.0,"[30.24489353177937, 0.01474784472521456]",34.711032078629785,20.985378796634443,2
0.13352521524082164,42.0,"[30.970390554208997, 0.01498824242544552]",35.271026813564205,21.71549090388643,2
0.1285479606814328,43.0,"[31.700259694482572, 0.01523120940385634]",35.82855109703358,22.450339040769915,2
0.1238151728326512,44.0,"[32.43486171040274, 0.015477330367172117]",36.3829606706463,23.190418457891397,2
0.11930320034400727,45.0,"[33.17469104028612, 0.0157274176052725]",36.93343865452761,23.936409034829477,2
0.1150119143428083,46.0,"[36.92095361525321, 0.023060452625164648]",37.47891209164337,24.689257670970733,2
0.11091967369846716,47.0,"[37.46700170659145, 0.02262674277008833]",38.0179097985508,25.450319504816633,2
0.1070138344082684,48.0,"[38.00655233360847, 0.02221206307834455]",38.54830143252801,26.221618066798897,2
0.10328278775287923,49.0,"[38.53748060586129, 0.0218099913997873]",39.06676781966968,27.006374375376534,2
0.09971585956602463,50.0,"[39.05647403220238, 0.02141238108310614]",39.567559340901944,27.810248360990023,2
0.096303225999924,51.0,"[39.55779264401239, 0.021007090274620267]",40.03883978590401,28.644995934097118,2
0.09303586426699378,52.0,"[40.029617927536734, 0.020571329856792765]",40.44580993821486,29.54535210234686,2
0.08988813952415525,53.0,"[40.43720004682593, 0.020040735901588287]",40.64595364130102,30.657341871833783,1
0.08689002314918037,54.0,"[40.6383428907086, 0.018998981125178102]",41.3070185913624,31.318555502125154,1
0.08401374700660526,55.0,"[41.30013182300138, 0.01842367912377702]",41.96828374848608,31.97994962313959,1
0.08125229393858979,56.0,"[41.962080008012606, 0.017869615126986007]",42.62973007484232,32.64152346838805,1
0.0785994631692934,57.0,"[42.624187784730125, 0.01733568365792403]",43.29134845661566,33.303267945572145,1
0.07604948350132852,58.0,"[43.28644710174846, 0.01682084382368402]",43.95313039091518,33.96517457306747,1
0.07359697695219633,59.0,"[43.948850446949706, 0.0163241261177642]",44.61506793493786,34.62723542908874,1
0.07123692601774798,60.0,"[44.61139080275407, 0.01584462633466736]",45.277153660158405,35.28944310585948,1
0.0689646441471411,61.0,"[45.27406160575878, 0.015381500100699351]",45.93938061096191,35.95179066823897,1
0.06677574906804823,62.0,"[45.936856710289796, 0.014933957949173985]",46.60174226722652,36.61427161629636,1
0.06466613864637008,63.0,"[46.59977035541888, 0.01450126087747187]",47.26423251042797,37.27687985140042,1
0.0626319690036857,64.0,"[47.262797135068716, 0.014082716331709119]",47.92684559286642,37.93960964545519,1
0.0606696346504797,65.0,"[47.9259319708837, 0.013677674571487962]",48.58957610970651,38.60245561292965,1
0.05877575042171736,66.0,"[48.589170087556376, 0.013285525373279402]",49.252418973522666,39.26541268539718,1
0.05694713502678818,67.0,"[49.25250699036115, 0.012905695036029063]",49.91536939108671,39.928476088329205,1
0.05518079604834637,68.0,"[49.91593844467221, 0.012537643657001465]",50.57842284217945,40.591641319901996,1
0.05347391624329227,69.0,"[50.57946045725231, 0.01218086264968722]",51.2415750602173,41.25490413162862,1
0.051823841016100575,70.0,"[51.24306925914961, 0.011834872479012739]",51.90482201451918,41.918260510620236,1
0.05022806694901494,71.0,"[51.90676129002844, 0.01149922059179609]",52.56815989404331,42.581706663329626,1
0.048684231286793125,72.0,"[52.57053318380663, 0.011173479522997475]",53.23158509246776,43.24523900063266,1
0.04719010228455517,73.0,"[53.23438175547204, 0.010857245160616483]",53.895094194471575,43.908854124111606,1
0.04574357033736351,74.0,"[53.898303988957906, 0.010550135153697567]",54.558683963118526,44.5725488134399,1
0.04434263981860613,75.0,"[54.56229702598994, 0.010251787449961828]",55.22235132823154,45.23632001476198,1
0.04298542156195721,76.0,"[55.22635815581122, 0.009961858950762466]",55.88609337566063,45.90016482997881,1
0.04167012592937855,77.0,"[55.89048480570637, 0.009680024272444448]",56.54990733740332,46.56408050683248,1
0.04039505641105917,78.0,"[56.554674532228006, 0.009405974604478727]",57.213790582451225,47.2280644297851,1
0.039158603710956696,79.0,"[57.21892501312949, 0.009139416655605189]",57.87774060828665,47.89211411156956,1
0.0379592402776765,80.0,"[57.8832340398897, 0.008880071679859857]",58.541755033081316,48.55622718528065,1
