Avg_Infect_over_1_period,delta_val,Initial_Conditions,Max_total_pop,Min_total_pop,period
0.22126033224817124,28.0,"[21.60435345371399, 0.015708429539017032]",26.743181401335885,12.33383918026466,2
0.209115599248225,29.0,"[22.3176025863142, 0.01623659395045851]",27.25558229456628,13.05761690922026,2
0.1977750770805888,30.0,"[23.04081552963096, 0.016801379589298372]",27.763427306688463,13.791834641313125,2
0.18716143101385008,31.0,"[23.77443019983373, 0.0174044414793951]",28.265479664334777,14.537282707082737,2
0.17720693077075106,32.0,"[24.51923382814074, 0.01804887894199568]",28.760048940805834,15.29523921786372,2
0.16785200282041923,33.0,"[25.27649949076646, 0.018739727097258782]",29.24473900483214,16.06772155049048,2
0.15904403550641144,34.0,"[26.04823663570216, 0.0194849147883191]",29.715953273622798,16.85797984378777,2
0.15073638513513216,35.0,"[26.837682647597983, 0.02029719618978753]",30.167811834765438,17.671578617743705,2
0.14287815960984,36.0,"[27.650380167376778, 0.02119845036692804]",30.589324510497796,18.519223538052636,2
0.13545366001336814,37.0,"[30.568271218104915, 0.03157329332906392]",30.954307596775806,19.42684973889583,2
0.128418595620157,38.0,"[30.93474152194646, 0.030192477116844574]",31.13727400727597,20.519790386275073,2
0.1217171537266916,39.0,"[31.11970934928116, 0.02816986936368708]",31.476916518818054,21.487532207571732,1
0.1153737413593935,40.0,"[31.46169033626322, 0.02584187130851179]",32.13451599666767,22.145350580158798,1
0.10933827713767504,41.0,"[32.12071623235354, 0.024634347805259953]",32.79254540336482,22.803598396300615,1
0.10358886909711962,42.0,"[32.78012075339974, 0.023477642900870684]",33.45097436766039,23.462245270497963,1
0.09810565228885545,43.0,"[33.43987716704863, 0.02236810344933537]",34.109775313422965,24.121263614135987,1
0.09287055948162956,44.0,"[34.09996119061955, 0.021302423516438268]",34.76892314567117,24.780628321297783,1
0.08786712230108516,45.0,"[34.76035071736628, 0.020277603931502946]",35.428394977950475,25.44031649596159,1
0.0830802981949964,46.0,"[35.42102557857727, 0.019290917384314155]",36.08816989485164,26.100307214359006,1
0.0784963193941379,47.0,"[36.08196733616174, 0.018339878197267703]",36.74822874449779,26.76058131732509,1
0.07410256067450391,48.0,"[36.743159101269335, 0.0174222160557573]",37.40855395668267,27.421121228319418,1
0.06988742324602765,49.0,"[37.40458537521626, 0.01653585310315708]",38.069129383041634,28.081910793489882,1
0.06584023251884277,50.0,"[38.06623190958324, 0.015678883906645565]",38.729940156200364,28.742935140736154,1
0.06195114785007598,51.0,"[38.7280855828547, 0.01484955788145407]",39.39097256532917,29.404180555183164,1
0.05821108266452884,52.0,"[39.390134291355565, 0.014046263827603643]",40.052213945918865,30.065634368883984,1
0.05461163358404817,53.0,"[40.05236685259602, 0.013267516287962163]",40.71365258191161,30.727284862895694,1
0.051145017402491166,54.0,"[40.714772919414244, 0.012511943481450636]",41.375277618612415,31.389121180131536,1
0.047804014911048465,55.0,"[41.37734290352883, 0.011778276602708066]",42.037078985012315,32.05113324763916,1
0.044581920720883794,56.0,"[42.04006790732859, 0.011065340310565174]",42.699047324363384,32.713311707132235,1
0.0414724983490984,57.0,"[42.70293966287857, 0.010372044253662399]",43.361173932001556,33.375647852773724,1
0.03846993993491028,58.0,"[43.365950477270374, 0.009697375503346733]",44.02345069954523,34.0381335753447,1
0.03556883003871378,59.0,"[44.029093183562466, 0.009040391782234328]",44.68587006472742,34.70076131204276,1
0.03276411304914795,60.0,"[44.69236109665044, 0.008400215392322004]",45.34842496620484,35.36352400126528,1
0.030051063785516828,61.0,"[45.35574797350569, 0.007776027759592159]",46.01110880277555,36.02641504180101,1
0.027425260935967886,62.0,"[46.01924797727789, 0.007167064523118421]",46.67391539651738,36.689428255949714,1
0.024882563017374723,63.0,"[46.682855644843464, 0.0065726111062507295]",47.336838959410834,37.352557856123575,1
0.02241908658194971,64.0,"[47.34656585740816, 0.005991998715413674]",47.99987406306907,38.01579841455825,1
0.020031186429333978,65.0,"[48.0103738138392, 0.005424600719045238]",48.66301561124236,38.67914483580312,1
0.017715437612178232,66.0,"[48.674275006437995, 0.004869829365129803]",49.32625881480709,39.3425923316939,1
0.015468619048359254,67.0,"[49.33826519889299, 0.004327132800911089]",49.98959916897809,40.00613639855253,1
0.013287698574907948,68.0,"[50.00234040618977, 0.003795992362758246]",50.65303243252112,40.669772796386596,1
0.011169819297830855,69.0,"[50.66649687627858, 0.0032759201080142506]",51.31655460875819,41.333497529886166,1
0.009112287108649957,70.0,"[51.33073107332222, 0.0027664565639480875]",51.98016192819567,41.99730683103793,1
0.007112559252881228,71.0,"[51.99503966236608, 0.0022671686718489445]",52.64385083260847,42.661197143202315,1
0.00516823384848719,72.0,"[52.65941949529555, 0.0017776479067657055]",53.307617960444,43.32516510650859,1
0.003277040263503969,73.0,"[53.323867597952976, 0.001297508555619227]",53.97146013341957,43.98920754444436,1
0.0014368302717060622,74.0,"[53.98838115830603, 0.000826386138338819]",54.63537434419713,44.653321451523915,1
4.439444439850617e-36,75.0,"[54.652957515565596, 0.0003639359583194407]",55.166555661270024,45.18466211749641,1
1.0513116116251032e-218,76.0,"[55.18466211749641, 1.0196988249809234e-36]",55.166555661269825,45.18466211749615,1
0.0,77.0,"[55.18466211749615, 1.4123920308723316e-219]",55.1665556612698,45.18466211749596,1
0.0,78.0,"[55.18466211749596, 2.5e-323]",55.16655566126976,45.184662117496025,1
0.0,79.0,"[55.184662117496025, 2.5e-323]",55.16655566126976,45.184662117496025,1
0.0,80.0,"[55.184662117496025, 2.5e-323]",55.16655566126976,45.184662117496025,1
